Incident ID,Incident Date,State,City Or County,Address,killed,injured,Operations,lat,lon,killed_injured
2116343,14-Sep-21,Maryland,Baltimore,1700 block of N Milton Ave,0,4,N/A,39.31,-76.58,4
2116205,14-Sep-21,Ohio,Cleveland,2747 Cedar Ave,0,6,N/A,41.5,-81.67,6
2115522,13-Sep-21,Wisconsin,Milwaukee,3073 N Sherman Blvd,0,5,N/A,43.08,-87.97,5
2115947,12-Sep-21,Wisconsin,Wheeler,3800 block of CR VVV,4,0,N/A,45.04,-91.91,4
2114626,12-Sep-21,Texas,Temple,900 block of S 24th St,0,4,N/A,31.08,-97.33,4
2114481,12-Sep-21,Michigan,Detroit,2700 block of Halleck St,2,4,N/A,42.41,-83.07,6
2113841,11-Sep-21,Illinois,Chicago,300 block of E Kensington Ave,1,5,N/A,41.68,-87.62,6
2114510,11-Sep-21,Alabama,Dothan,2000 Reeves St,0,5,N/A,31.25,-85.39,5
2113623,11-Sep-21,Illinois,Chicago,900 block of E 79th St,1,3,N/A,41.75,-87.6,4
2113769,11-Sep-21,New Jersey,Paterson,E 18th St and Fulton Pl,0,4,N/A,40.92,-74.15,4
2114583,11-Sep-21,New York,Utica,700 block of Noyes St,0,4,N/A,43.1,-75.25,4
2112450,10-Sep-21,Florida,Orlando,5526 S Orange Blossom Trl,0,4,N/A,28.48,-81.4,4
2111858,9-Sep-21,Illinois,East Saint Louis,510 Martin Luther King Dr,0,7,N/A,38.63,-90.15,7
2112252,9-Sep-21,Alabama,Montgomery,1800 block of Cotton Court,1,3,N/A,32.41,-86.28,4
2111895,8-Sep-21,Missouri,Saint Louis,4000 block of St Ferdinand Ave,0,4,N/A,38.66,-90.23,4
2110346,7-Sep-21,Delaware,Wilmington,A St and New Castle Ave,0,4,N/A,39.73,-75.54,4
2110077,7-Sep-21,Kansas,Wichita,351 N Mosley St,1,5,N/A,37.69,-97.33,6
2109075,6-Sep-21,Georgia,Atlanta,868 Joseph E Boone Blvd NW,0,5,N/A,33.76,-84.42,5
2108892,5-Sep-21,Missouri,Independence,116 W Lexington Ave,0,4,N/A,39.09,-94.42,4
2108560,5-Sep-21,New York,Bronx,4848 White Plains Rd,0,4,N/A,40.91,-73.85,4
2115336,5-Sep-21,Missouri,Wyatt,N/A,0,4,N/A,36.91,-89.22,4
2108414,5-Sep-21,Texas,Houston,7518 Imogene St,4,0,N/A,29.68,-95.52,4
2108378,5-Sep-21,Georgia,Athens,E Clayton St and N Jackson St,0,6,N/A,33.96,-83.37,6
2108302,5-Sep-21,Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2,N/A,28.14,-81.96,6
2109384,5-Sep-21,Ohio,Cincinnati,6308 Corbly Rd,0,4,N/A,39.09,-84.38,4
2107828,4-Sep-21,Louisiana,Monroe,1600 block of Winnsboro Rd,1,3,N/A,32.48,-92.09,4
2108406,4-Sep-21,Georgia,Warner Robins,Mauldon Ct and Dunmurry Pl,1,4,N/A,32.64,-83.63,5
