lat,lon
45.00,-13
80.00,-45
-27.00,-11
157.00,14
-155.00,-5
-131.00,-9
20.00,37
-98.00,7
133.00,64
-46.00,-34
-118.00,87
-14.00,-72
31.00,41
-69.00,-47
-67.00,-70
-68.00,70
-11.00,-20
-137.00,-90
-45.00,-90
-16.00,42
-109.00,14
-67.00,37
135.00,36
52.00,-9
13.00,-24
-12.00,-68
-138.00,-56
148.00,-49
-80.00,54
-162.00,34
6.00,-52
-128.00,-61
-151.00,66
85.00,88
175.00,-60
107.00,-82
-92.00,-82
-54.00,35
41.00,-36
130.00,56
-11.00,-20
-28.00,90
137.00,-11
-163.00,75
156.00,-68
-105.00,70
69.00,-5
-167.00,82
93.00,-38
107.00,7
-43.00,-33
27.00,31
-22.00,21
74.00,9
100.00,-13
51.00,35
-75.00,43
-152.00,9
-31.00,-2
-158.00,83
-23.00,-29
105.00,-2
-179.00,-18
160.00,47
148.00,-88
9.00,-38
-80.00,-82
-110.00,47
45.00,-41
149.00,-15
-85.00,16
-106.00,-60
65.00,30
-102.00,90
2.00,70
-38.00,-51
-17.00,-77
-146.00,-71
163.00,33
-21.00,-57
81.00,42
119.00,-71
-158.00,25
175.00,58
81.00,-2
-8.00,17
130.00,7
-146.00,56
-31.00,-15
109.00,46
-153.00,-63
-164.00,-20
7.00,69
-27.00,6
15.00,39
56.00,59
-29.00,2
68.00,58
-59.00,62
10.00,47
107.00,61
34.00,71
-166.00,-12
98.00,-71
49.00,-16
-18.00,2
107.00,-21
-42.00,-68
-20.00,12
127.00,79
-106.00,90
-87.00,12
139.00,-31
91.00,90
129.00,-60
-168.00,-4
-91.00,-50
169.00,-88
53.00,-22
14.00,-58
-63.00,2
-62.00,63
-72.00,-52
-133.00,-48
75.00,-8
3.00,-80
116.00,49
-90.00,90
-50.00,-42
-159.00,-28
-69.00,-42
150.00,29
-109.00,-66
62.00,-30
77.00,34
92.00,-51
24.00,-84
108.00,36
-23.00,-57
-71.00,81
166.00,-73
-88.00,83
-60.00,-80
22.00,35
-39.00,-55
161.00,49
-139.00,-51
4.00,22
154.00,-26
29.00,-57
129.00,-80
124.00,-7
123.00,-43
122.00,39
148.00,-42
-28.00,-45
-146.00,-11
139.00,64
76.00,40
134.00,17
-2.00,31
-86.00,63
-151.00,69
-152.00,67
-114.00,-20
-20.00,30
-96.00,-28
-174.00,71
73.00,85
-135.00,-56
180.00,-76
139.00,-8
-124.00,-62
150.00,-75
90.00,81
41.00,86
-35.00,39
-64.00,-76
-116.00,-34
-151.00,63
153.00,-57
-62.00,57
-56.00,76
-34.00,-23
-13.00,9
116.00,-88
30.00,10
11.00,64
-113.00,71
105.00,32
84.00,74
-88.00,-87
109.00,-52
-174.00,83
-16.00,72
86.00,60
136.00,-90
149.00,34
18.00,2
32.00,-83
84.00,57
54.00,-40
55.00,-65
58.00,36
-1.00,-16
133.00,65
68.00,-36
-135.00,46
-77.00,40
-150.00,-50
121.00,-21
66.00,32
-58.00,-8
-38.00,62
-98.00,-56
137.00,84
16.00,42
-164.00,13
-52.00,-65
-140.00,-14
72.00,-31
-44.00,-60
74.00,-12
57.00,16
-27.00,82
9.00,-17
-85.00,55
103.00,-32
79.00,-64
-26.00,-51
-11.00,24
-50.00,-23
-22.00,-88
-110.00,-49
-6.00,-88
-7.00,45
64.00,-61
-110.00,7
15.00,-59
115.00,-25
59.00,-13
59.00,62
46.00,33
168.00,40
38.00,-29
86.00,22
-146.00,3
-103.00,35
-26.00,-33
-84.00,62
-122.00,28
62.00,-62
62.00,87
-121.00,45
-94.00,75
152.00,25
127.00,-63
96.00,39
-143.00,17
-6.00,56
-103.00,-86
59.00,-89
-110.00,-9
-34.00,23
64.00,-14
53.00,39
20.00,-44
134.00,63
65.00,0
-34.00,23
16.00,-67
166.00,20
41.00,0
-121.00,5
-132.00,-39
-16.00,77
69.00,83
-83.00,45
161.00,-55
-31.00,-35
6.00,-31
-127.00,86
45.00,79
-99.00,28
152.00,-87
-171.00,-5
-114.00,12
128.00,6
132.00,80
173.00,7
-68.00,62
70.00,-87
-21.00,-13
-69.00,32
-148.00,-76
-96.00,29
-116.00,-80
-66.00,39
176.00,32
93.00,-59
51.00,21
-164.00,1
163.00,3
86.00,33
40.00,-19
-135.00,-27
-130.00,-37
164.00,-54
-31.00,45
-134.00,70
134.00,-64
3.00,-34
139.00,63
-115.00,59
8.00,-17
7.00,-34
26.00,-38
-98.00,1
155.00,59
-71.00,37
134.00,-3
-67.00,38
66.00,-32
-129.00,-75
-128.00,54
-129.00,-55
88.00,-38
35.00,-11
