mission_id,mission_date,mission_year,theatre_of_operations,country,air_force,unit_id,aircraft_series,callsign,mission_type,takeoff_base,takeoff_location,takeoff_latitude,takeoff_longitude,target_id,target_country,target_city,target_type,target_industry,target_priority,target_latitude,target_longitude,altitude_100ft,airborne_aircraft,attacking_aircraft,bombing_aircraft,aircraft_returned,aircraft_failed,aircraft_damaged,aircraft_lost,high_explosives,high_explosives_type,high_explosives_mass_lbs,high_explosives_weight_tons,incendiary_devices,incendiary_devices_type,incendiary_devices_weight_lbs,incendiary_devices_weight_tons,fragmentation_devices,fragmentation_devices_type,fragmentation_devices_weight_lbs,fragmentation_devices_weight_tons,total_weight_lbs,total_weight_tons,time_over_target,bomb_damage_assessment,source_id
124148,1/1/1943,1943,CBI,USA,10 AF,CATF (11 BS),B25,,1,HANGYANG,CHINA,26.905278,112.627778,,CHINA,CANTON,TIEN HO AIRDROME,,,23.133333,113.3166666,10000,5,4,4,,,,,48,100 LB GP (GP-M30),4800,2.4,,,,0,30,17 KG CHINESE,1122,0.561,5922,2.961,745,,4
136996,1/1/1943,1943,PTO,USA,5 AF,319 BS,B24,,6,,,,,,NEW GUINEA,BUNA,AREA,,1,-8.666666667,148.4166667,,,,,,,,,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,7095
137000,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12339,TUNISIA,EL DJEM,RAILROAD BRIDGE,BRIDGES,1,35.3,10.67,,,,,,,,,,,,1,,,,,,,,,,1,,,93081
137301,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12339,TUNISIA,EL DJEM,RAILROAD BRIDGE,BRIDGES,1,35.3,10.67,,3,3,3,,,,,,,,2,,,,,,,,,,2,,,93082
137302,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12339,TUNISIA,EL DJEM,RAILROAD BRIDGE,BRIDGES,1,35.3,10.67,,,,,,,,,,,,1,,,,,,,,,,1,,,193279
137303,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12339,TUNISIA,EL DJEM,RAILROAD BRIDGE,BRIDGES,1,35.3,10.67,,3,3,3,,,,,,,,2,,,,,,,,,,2,,,193280
137304,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12350,TUNISIA,EL GUETTAR,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES,1,34.33,8.92,,,,,,,,,,,,1,,,,,,,,,,1,,,93083
137305,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12350,TUNISIA,EL GUETTAR,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES,1,34.33,8.92,,3,3,3,,,,,,,,1,,,,,,,,,,1,,,93084
137306,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12350,TUNISIA,EL GUETTAR,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES,1,34.33,8.92,,,,,,,,,,,,1,,,,,,,,,,1,,,193281
137307,1/1/1943,1943,MTO,USA,12 AF,,A20,,,,,,,12350,TUNISIA,EL GUETTAR,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES,1,34.33,8.92,,3,3,3,,,,,,,,1,,,,,,,,,,1,,,193282
137308,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,9,,,,,,,,,,9,,,93086
137309,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,18,,,,,,,,,,18,,,93087
137310,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,9,,,,,,,,,,9,,,93088
137311,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,9,,,,,,,,,,9,,,193288
137312,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,18,,,,,,,,,,18,,,193289
137313,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,9,,,,,,,,,,9,,,193290
137314,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,9,,,,,,,,,,9,,,193291
137315,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,18,,,,,,,,,,18,,,193292
137316,1/1/1943,1943,MTO,USA,9 AF,,B24,,,,,,,21374,CRETE,KASTELI,AIRDROME,AIR FIELDS AND AIRDROMES,1,35.17,25.75,200,,,,,,,,,,,9,,,,,,,,,,9,,,193293
137317,1/1/1943,1943,MTO,,,,SB24,,,,,,,44112,TUNISIA,TUNIS,,SHIPS,1,37,8.95,225,,,,,,,,,,,9,,,,,,,,,,9,,,193284
137318,1/1/1943,1943,MTO,,,,B24,,,,,,,44112,TUNISIA,TUNIS,,SHIPS,1,37,8.95,225,,,,,,,,,,,9,,,,,,,,,,9,,,193286
137319,1/1/1943,1943,MTO,,,,SB24,,,,,,,44112,TUNISIA,TUNIS,,SHIPS,1,37,8.95,210,,,,,,,,,,,6,,,,,,,,,,6,,,193285
137320,1/1/1943,1943,MTO,,,,B24,,,,,,,44112,TUNISIA,TUNIS,,SHIPS,1,37,8.95,210,,,,,,,,,,,6,,,,,,,,,,6,,,193287
137321,1/1/1943,1943,MTO,,,,SB24,,,,,,,44112,TUNISIA,TUNIS,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,37,8.95,205,,,,,,,,,,,17,,,,,,,,,,17,,,93089
137322,1/1/1943,1943,MTO,,,,SB24,,,,,,,44112,TUNISIA,TUNIS,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,37,8.95,205,,,,,,,,,,,17,,,,,,,,,,17,,,158768
137323,1/1/1943,1943,MTO,,,,B24,,,,,,,44112,TUNISIA,TUNIS,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,37,8.95,205,,,,,,,,,,,17,,,,,,,,,,17,,,158767
137324,1/1/1943,1943,MTO,,,,B26,,,,,,,44112,TUNISIA,TUNIS,,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,37,8.95,83,6,6,6,,,,,,,,9,,,,,,,,,,9,,,93085
137325,1/1/1943,1943,MTO,,,,B26,,,,,,,44112,TUNISIA,TUNIS,,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,37,8.95,83,6,6,6,,,,,,,,9,,,,,,,,,,9,,,193283
137326,1/1/1943,1943,MTO,USA,9 AF,98 BG,B24,,,FAYID (LG-211),EGYPT,30.31666667,32.3,,TUNISIA,SPECIAL MISSION,,,,,,0,1,,,,,,,,,,0,,,,0,,,,0,,1.5,,,61
137327,1/1/1943,1943,MTO,USA,9 AF,98 BG,B24,,,FAYID (LG-211),EGYPT,30.31666667,32.3,,TUNISIA,TUNIS,,,,37,8.95,0,10,,,,,,,,,,0,,,,0,,,,0,,32,,,60
137328,1/1/1943,1943,,USA,8 AF,,B26,,,,,,,44333,UNKNOWN OR NOT INDICATED,UNIDENTIFIED,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,,,,3,3,3,,,,,,,,4,,,,,,,,,,4,,,193294
137329,1/1/1943,1943,,USA,8 AF,,B26,,,,,,,44333,UNKNOWN OR NOT INDICATED,UNIDENTIFIED,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,,,,3,3,3,,,,,,,,4,,,,,,,,,,4,,,291158
137330,1/1/1943,1943,CBI,USA,10 AF,IATF (341 BG),B25,,1,CHAKULIA,INDIA,22.466803,86.7107,,BURMA,MYITNGE BRIDGE,BRIDGE,,,21.876687,95.996137,,6,6,6,,,,,,,18000,9,,,,0,,,,0,18000,9,,,5
137335,1/2/1943,1943,MTO,USA,9 AF,376 BG DET A,B24,,,ABU SUEIR,EGYPT,30.572664,32.095342,,CRETE,KASTELLI,,,,35.2,25.33,200,12,12,12,,,,,144,500 LB GP (GP-M43/M64),,36,,,,0,,,,0,,36,,,88
137336,1/2/1943,1943,PTO,USA,5 AF,71 BS,B25,,1,,,,,,NEW GUINEA,JACOBSENS,SUPPLY DUMP,,1,-6.716666667,146.9833333,38,,6,,,,,,80,100 LB GP (GP-M30),,4,,,,,,,,,,4,,,8760
137339,1/2/1943,1943,MTO,USA,9 AF,12 BG,B25,,,GAMBUT (LG 142),LIBYA,31.86805556,24.48472222,,CRETE,HERAKLION,,,,35.34,25.17,150,11,11,11,,,,,,250 LB GP (GP-M57),,11,,,,0,,,,0,,11,1305,,
137340,1/2/1943,1943,ETO,,,,B26,,,,,,,44696,FRANCE,VAR RIVER,,BRIDGES,1,43.67,7.18,90,23,23,23,,,,,,,,44,,,,,,,,,,44,,,93090
137341,1/2/1943,1943,ETO,,,,B26,,,,,,,44696,FRANCE,VAR RIVER,,BRIDGES,1,43.67,7.18,90,23,23,23,,,,,,,,44,,,,,,,,,,44,,,193295
137342,1/2/1943,1943,MTO,USA,12 AF,,GB17,,,,,,,23014,TUNISIA,LA GOULETTE,HARBOR,PORTS AND HARBORS,1,38.83,10.3,215,,,,,,,,,,,11,,,,,,,,,,11,,,193297
137343,1/2/1943,1943,MTO,USA,12 AF,,B17,,,,,,,23014,TUNISIA,LA GOULETTE,HARBOR,PORTS AND HARBORS,1,38.83,10.3,215,,,,,,,,,,,11,,,,,,,,,,11,,,193304
137344,1/2/1943,1943,MTO,USA,12 AF,,B26,,,,,,,12339,TUNISIA,EL DJEM,RAILROAD BRIDGE,BRIDGES,1,35.3,10.67,100,12,12,12,,,,,,,,8,,,,,,,,,,8,,,93091
